2022-05-27 12:05:405 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 12:05:320 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 12:05:594 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 12:05:895 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 14:05:766 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 14:05:894 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-27 14:05:541 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-27 14:05:595 INFO  AuthPage :133 - Entering email Create Account[[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='email_create']]
2022-05-27 14:05:637 INFO  AuthPage :138 - Clicking on Create Account[[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //button[@id='SubmitCreate']]
2022-05-27 14:05:174 INFO  AuthPage :153 - Clicking on Gender Radio [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='id_gender2']]
2022-05-27 14:05:239 INFO  AuthPage :160 - Sending firstname myfirstname to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='customer_firstname']]
2022-05-27 14:05:297 INFO  AuthPage :165 - Sending lastname mylastname to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='customer_lastname']]
2022-05-27 14:05:344 INFO  AuthPage :175 - Sending password abcd1234 to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='passwd']]
2022-05-27 14:05:509 INFO  AuthPage :182 - Setting BirthDate  1/1/1990 to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //select[@id='days']] [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //select[@id='months']] [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //select[@id='years']]
2022-05-27 14:05:545 INFO  AuthPage :187 - Clicking on Newsletter checkbox [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='newsletter']]
2022-05-27 14:05:581 INFO  AuthPage :192 - Clicking on offer checkbox [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='optin']]
2022-05-27 14:05:626 INFO  AuthPage :207 - Sending company company1 to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='company']]
2022-05-27 14:05:750 INFO  AuthPage :213 - Sending Address The avenue The avenue to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='address1']] [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='address2']]
2022-05-27 14:05:792 INFO  AuthPage :218 - Sending city Texas to [[ChromeDriver: chrome on WINDOWS (4635eff8378fdadf5e044bfaa139f921)] -> xpath: //input[@id='city']]
2022-05-27 14:05:652 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 14:05:872 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 14:05:304 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 14:05:163 INFO  ManageDriver :34 - Launching Chrome Browser
2022-05-27 14:05:254 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-27 14:05:185 INFO  HomePage :60 - Clicking on Sign In [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //a[contains(text(),'Sign in')]]
2022-05-27 14:05:238 INFO  AuthPage :133 - Entering email Create Account[[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //input[@id='email_create']]
2022-05-27 14:05:278 INFO  AuthPage :138 - Clicking on Create Account[[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //button[@id='SubmitCreate']]
2022-05-27 14:05:31 INFO  AuthPage :148 - Clicking on Gender Radio [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //input[@id='id_gender1']]
2022-05-27 14:05:88 INFO  AuthPage :160 - Sending firstname myfirstname to [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //input[@id='customer_firstname']]
2022-05-27 14:05:132 INFO  AuthPage :165 - Sending lastname mylastname to [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //input[@id='customer_lastname']]
2022-05-27 14:05:176 INFO  AuthPage :175 - Sending password abcd1234 to [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //input[@id='passwd']]
2022-05-27 14:05:324 INFO  AuthPage :182 - Setting BirthDate  1/1/1990 to [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //select[@id='days']] [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //select[@id='months']] [[ChromeDriver: chrome on WINDOWS (b6f1550e5bb38f8c600268aa2057b0b1)] -> xpath: //select[@id='years']]
